CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1x≥3/*12,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*1,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*1x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*68x2+*4,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*14,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*15,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*17,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*17x2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*18,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*19,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*20,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*21,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*22,,CYP2D6 Indeterminate,none
*1x≥3/*23,,CYP2D6 Indeterminate,none
*1x≥3/*24,,CYP2D6 Indeterminate,none
*1x≥3/*25,,CYP2D6 Indeterminate,none
*1x≥3/*26,,CYP2D6 Indeterminate,none
*1x≥3/*27,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*27x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*28,,CYP2D6 Indeterminate,none
*1x≥3/*28x2,,CYP2D6 Indeterminate,none
*1x≥3/*29,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*29x2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*30,,CYP2D6 Indeterminate,none
*1x≥3/*31,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*32,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*33,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*34,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*35,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*35x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36+*10,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36+*10x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36x2,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36x2+*10,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36x2+*10x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*37,,CYP2D6 Indeterminate,none
*1x≥3/*38,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*39,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*40,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*41,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*41x2,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*41x3,≥3.75,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*42,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*43,,CYP2D6 Indeterminate,none
*1x≥3/*43x2,,CYP2D6 Indeterminate,none
*1x≥3/*44,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*45,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*45x2,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*46,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*47,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*48,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*49,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*50,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*51,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*52,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*53,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*54,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*55,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*56,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*58,,CYP2D6 Indeterminate,none
*1x≥3/*59,≥3.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*60,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*61,,CYP2D6 Indeterminate,none
*1x≥3/*62,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*63,,CYP2D6 Indeterminate,none
*1x≥3/*64,,CYP2D6 Indeterminate,none
*1x≥3/*65,,CYP2D6 Indeterminate,none
*1x≥3/*68,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*68+*2,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*68+*4,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*69,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*70,,CYP2D6 Indeterminate,none
*1x≥3/*71,,CYP2D6 Indeterminate,none
*1x≥3/*72,,CYP2D6 Indeterminate,none
*1x≥3/*73,,CYP2D6 Indeterminate,none
*1x≥3/*74,,CYP2D6 Indeterminate,none
*1x≥3/*75,,CYP2D6 Indeterminate,none
*1x≥3/*81,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*82,,CYP2D6 Indeterminate,none
*1x≥3/*83,,CYP2D6 Indeterminate,none
*1x≥3/*84,,CYP2D6 Indeterminate,none
*1x≥3/*85,,CYP2D6 Indeterminate,none
*1x≥3/*86,,CYP2D6 Indeterminate,none
*1x≥3/*87,,CYP2D6 Indeterminate,none
*1x≥3/*88,,CYP2D6 Indeterminate,none
*1x≥3/*89,,CYP2D6 Indeterminate,none
*1x≥3/*90,,CYP2D6 Indeterminate,none
*1x≥3/*91,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*92,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*93,,CYP2D6 Indeterminate,none
*1x≥3/*94,,CYP2D6 Indeterminate,none
*1x≥3/*95,,CYP2D6 Indeterminate,none
*1x≥3/*96,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*97,,CYP2D6 Indeterminate,none
*1x≥3/*98,,CYP2D6 Indeterminate,none
*1x≥3/*99,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*100,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*101,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*102,,CYP2D6 Indeterminate,none
*1x≥3/*103,,CYP2D6 Indeterminate,none
*1x≥3/*104,,CYP2D6 Indeterminate,none
*1x≥3/*105,,CYP2D6 Indeterminate,none
*1x≥3/*106,,CYP2D6 Indeterminate,none
*1x≥3/*107,,CYP2D6 Indeterminate,none
*1x≥3/*108,,CYP2D6 Indeterminate,none
*1x≥3/*109,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*110,,CYP2D6 Indeterminate,none
*1x≥3/*111,,CYP2D6 Indeterminate,none
*1x≥3/*112,,CYP2D6 Indeterminate,none
*1x≥3/*113,,CYP2D6 Indeterminate,none
*1x≥3/*114,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*115,,CYP2D6 Indeterminate,none
*1x≥3/*116,,CYP2D6 Indeterminate,none
*1x≥3/*117,,CYP2D6 Indeterminate,none
*1x≥3/*118,,CYP2D6 Indeterminate,none
*1x≥3/*119,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*120,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*121,,CYP2D6 Indeterminate,none
*1x≥3/*122,,CYP2D6 Indeterminate,none
*1x≥3/*123,,CYP2D6 Indeterminate,none
*1x≥3/*124,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*125,,CYP2D6 Indeterminate,none
*1x≥3/*126,,CYP2D6 Indeterminate,none
*1x≥3/*127,,CYP2D6 Indeterminate,none
*1x≥3/*128,,CYP2D6 Indeterminate,none
*1x≥3/*129,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*130,,CYP2D6 Indeterminate,none
*1x≥3/*131,,CYP2D6 Indeterminate,none
*1x≥3/*132,≥3.25,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*133,,CYP2D6 Indeterminate,none
*1x≥3/*134,,CYP2D6 Indeterminate,none
*1x≥3/*135,,CYP2D6 Indeterminate,none
*1x≥3/*136,,CYP2D6 Indeterminate,none
*1x≥3/*137,,CYP2D6 Indeterminate,none
*1x≥3/*138,,CYP2D6 Indeterminate,none
*1x≥3/*139,,CYP2D6 Indeterminate,none
*1x≥3/*140,,CYP2D6 Indeterminate,none
*1x≥3/*141,,CYP2D6 Indeterminate,none
*1x≥3/*142,,CYP2D6 Indeterminate,none
*1x≥3/*143,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*144,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*145,,CYP2D6 Indeterminate,none
*1x≥3/*146,,CYP2D6 Indeterminate,none
*1x≥3/*146x2,,CYP2D6 Indeterminate,none
*1x≥3/*147,,CYP2D6 Indeterminate,none
*1x≥3/*148,,CYP2D6 Indeterminate,none
*1x≥3/*149,,CYP2D6 Indeterminate,none
*1x≥3/*152,,CYP2D6 Indeterminate,none
*1x≥3/*153,,CYP2D6 Indeterminate,none
*1x≥3/*154,,CYP2D6 Indeterminate,none
*1x≥3/*155,,CYP2D6 Indeterminate,none
*1x≥3/*156,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*157,,CYP2D6 Indeterminate,none
*1x≥3/*158,,CYP2D6 Indeterminate,none
*1x≥3/*159,,CYP2D6 Indeterminate,none
*1x≥3/*160,,CYP2D6 Indeterminate,none
*1x≥3/*161,≥3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*162,,CYP2D6 Indeterminate,none
*1x≥3/*163,,CYP2D6 Indeterminate,none
*2/*2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*2x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2/*2x≥3,≥4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2/*3,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*3x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*4,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*4x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*4x≥3,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*5,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*6,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*6x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*7,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*8,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*9,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*9x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*10,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*10x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*11,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*12,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*13,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*13+*1,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*13+*1x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2/*13+*2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*13+*68x2+*4,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*14,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*15,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*17,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*17x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*18,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*19,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*20,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*21,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*22,,CYP2D6 Indeterminate,none
*2/*23,,CYP2D6 Indeterminate,none
*2/*24,,CYP2D6 Indeterminate,none
*2/*25,,CYP2D6 Indeterminate,none
*2/*26,,CYP2D6 Indeterminate,none
*2/*27,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*27x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2/*28,,CYP2D6 Indeterminate,none
*2/*28x2,,CYP2D6 Indeterminate,none
*2/*29,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*29x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*30,,CYP2D6 Indeterminate,none
*2/*31,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*32,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*33,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*34,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*35,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*35x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2/*36,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*36+*10,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*36+*10x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*36x2,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*36x2+*10,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*36x2+*10x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*37,,CYP2D6 Indeterminate,none
*2/*38,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*39,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*40,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*41,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*41x2,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*41x3,1.75,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*42,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*43,,CYP2D6 Indeterminate,none
*2/*43x2,,CYP2D6 Indeterminate,none
*2/*44,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*45,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*45x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2/*46,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*47,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*48,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*49,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*50,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*51,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*52,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*53,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*54,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*55,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*56,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*58,,CYP2D6 Indeterminate,none
*2/*59,1.5,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*60,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*61,,CYP2D6 Indeterminate,none
*2/*62,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*63,,CYP2D6 Indeterminate,none
*2/*64,,CYP2D6 Indeterminate,none
*2/*65,,CYP2D6 Indeterminate,none
*2/*68,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*68+*2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*68+*4,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*69,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*70,,CYP2D6 Indeterminate,none
*2/*71,,CYP2D6 Indeterminate,none
*2/*72,,CYP2D6 Indeterminate,none
*2/*73,,CYP2D6 Indeterminate,none
*2/*74,,CYP2D6 Indeterminate,none
*2/*75,,CYP2D6 Indeterminate,none
*2/*81,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*82,,CYP2D6 Indeterminate,none
*2/*83,,CYP2D6 Indeterminate,none
*2/*84,,CYP2D6 Indeterminate,none
*2/*85,,CYP2D6 Indeterminate,none
*2/*86,,CYP2D6 Indeterminate,none
*2/*87,,CYP2D6 Indeterminate,none
*2/*88,,CYP2D6 Indeterminate,none
*2/*89,,CYP2D6 Indeterminate,none
*2/*90,,CYP2D6 Indeterminate,none
*2/*91,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*92,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*93,,CYP2D6 Indeterminate,none
*2/*94,,CYP2D6 Indeterminate,none
*2/*95,,CYP2D6 Indeterminate,none
*2/*96,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*97,,CYP2D6 Indeterminate,none
*2/*98,,CYP2D6 Indeterminate,none
*2/*99,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*100,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*101,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*102,,CYP2D6 Indeterminate,none
*2/*103,,CYP2D6 Indeterminate,none
*2/*104,,CYP2D6 Indeterminate,none
*2/*105,,CYP2D6 Indeterminate,none
*2/*106,,CYP2D6 Indeterminate,none
*2/*107,,CYP2D6 Indeterminate,none
*2/*108,,CYP2D6 Indeterminate,none
*2/*109,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*110,,CYP2D6 Indeterminate,none
*2/*111,,CYP2D6 Indeterminate,none
*2/*112,,CYP2D6 Indeterminate,none
*2/*113,,CYP2D6 Indeterminate,none
*2/*114,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*115,,CYP2D6 Indeterminate,none
*2/*116,,CYP2D6 Indeterminate,none
*2/*117,,CYP2D6 Indeterminate,none
*2/*118,,CYP2D6 Indeterminate,none
*2/*119,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*120,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*121,,CYP2D6 Indeterminate,none
*2/*122,,CYP2D6 Indeterminate,none
*2/*123,,CYP2D6 Indeterminate,none
*2/*124,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*125,,CYP2D6 Indeterminate,none
*2/*126,,CYP2D6 Indeterminate,none
*2/*127,,CYP2D6 Indeterminate,none
*2/*128,,CYP2D6 Indeterminate,none
*2/*129,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*130,,CYP2D6 Indeterminate,none
*2/*131,,CYP2D6 Indeterminate,none
*2/*132,1.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2/*133,,CYP2D6 Indeterminate,none
*2/*134,,CYP2D6 Indeterminate,none
*2/*135,,CYP2D6 Indeterminate,none
*2/*136,,CYP2D6 Indeterminate,none
*2/*137,,CYP2D6 Indeterminate,none
*2/*138,,CYP2D6 Indeterminate,none
*2/*139,,CYP2D6 Indeterminate,none
*2/*140,,CYP2D6 Indeterminate,none
*2/*141,,CYP2D6 Indeterminate,none
*2/*142,,CYP2D6 Indeterminate,none
*2/*143,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*144,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*145,,CYP2D6 Indeterminate,none
*2/*146,,CYP2D6 Indeterminate,none
*2/*146x2,,CYP2D6 Indeterminate,none
*2/*147,,CYP2D6 Indeterminate,none
*2/*148,,CYP2D6 Indeterminate,none
*2/*149,,CYP2D6 Indeterminate,none
*2/*152,,CYP2D6 Indeterminate,none
*2/*153,,CYP2D6 Indeterminate,none
*2/*154,,CYP2D6 Indeterminate,none
*2/*155,,CYP2D6 Indeterminate,none
*2/*156,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*157,,CYP2D6 Indeterminate,none
*2/*158,,CYP2D6 Indeterminate,none
*2/*159,,CYP2D6 Indeterminate,none
*2/*160,,CYP2D6 Indeterminate,none
*2/*161,1.0,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*162,,CYP2D6 Indeterminate,none
*2/*163,,CYP2D6 Indeterminate,none
*2x2/*2x2,4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*2x≥3,≥5.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*3,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*3x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*4,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*4x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*4x≥3,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*5,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*6,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*6x2,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*7,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*8,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*9,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*9x2,2.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*10,2.25,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*10x2,2.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*11,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*12,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*13,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*13+*1,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*13+*1x2,4.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*13+*2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*13+*68x2+*4,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*14,2.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*15,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*17,2.5,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*17x2,3.0,CYP2D6 Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*2x2/*18,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*19,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*20,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*21,2.0,CYP2D6 Normal Metabolizer,Normal/Routine/ Low Risk
*2x2/*22,,CYP2D6 Indeterminate,none
